conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: I want to save a draft web page as DraftPage.html. -> DraftPage.html is ready for you at content://documents/DraftPage.html.', 'turn 2: Could you activate the still photo camera on my phone? -> Still photo camera is now running—ready to click!', 'turn 3: Snap the shot. -> Shot taken! Access it at content://media/external/images/media/20240702_210015.jpg', ""turn 4: Switch my phone's ringtone over to content://media/fantasy_rhythm. -> Your ringtone has been changed to 'fantasy_rhythm'. Hope you like the new beat!""]"	Open that page.	Please open content://documents/DraftDeck.pptx.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/external/images/media/20240702_210015.jpg', 'mime_type': 'image/jpeg'}}	ACTION_CREATE_DOCUMENT-12-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_IMAGE_CAPTURE-1-ACTION_SET_RINGTONE-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_CALL_LOG', 'ACTION_VIEW_SENT_EMAILS']
"[""turn 1: I'd like to create a new PowerPoint slide deck titled DraftDeck.pptx. -> DraftDeck.pptx is ready! You can find it here: content://documents/DraftDeck.pptx."", 'turn 2: Add a title slide and a summary slide to content://documents/DraftDeck.pptx. -> Done! DraftDeck.pptx now includes a title slide and a summary slide. You can edit it at content://documents/DraftDeck.pptx.', 'turn 3: I want to choose more than one image at once. Please open a multi-select dialog for images. -> Here’s the multi-select image picker—feel free to pick all the photos you want.', 'turn 4: Create a new JPEG image file named LandscapePhoto.jpg. -> LandscapePhoto.jpg has been created at content://documents/LandscapePhoto.jpg. Go ahead and add your image.']"	Please open the slide deck.	Open content://archives/archive.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftDeck.pptx'}}	ACTION_CREATE_DOCUMENT-16-ACTION_EDIT_DOCUMENT-1-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'launch_application', 'ACTION_VIDEO_CAPTURE', 'play_video', 'dial']
"[""turn 1: I'd like to create a new PowerPoint slide deck titled DraftDeck.pptx. -> DraftDeck.pptx is ready! You can find it here: content://documents/DraftDeck.pptx."", 'turn 2: Please open documents of type PDF and text. I would like the option to select more than one file. -> All set! I’ve got your selections:\n• content://docs/report.pdf\n• content://docs/notes.txt', ""turn 3: Send content://docs/report.pdf and content://docs/notes.txt to Sarah in a text message saying 'Here are the files you requested.' -> Files sent to Sarah successfully."", 'turn 4: Show the messages I sent Sarah. -> Your sent messages to Sarah: Sarah – ""Here are the files you requested.""']"	Open the slide deck	Open content://documents/DraftDeck.pptx	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftDeck.pptx'}}	ACTION_CREATE_DOCUMENT-16-ACTION_OPEN_DOCUMENT-1_NR-send_message-1-ACTION_VIEW_SENT_MESSAGES-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'ACTION_SHOW_TIMERS', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_VIDEO']
"[""turn 1: Create a ZIP archive with the filename archive.zip. -> Archive 'archive.zip' created successfully. Download it here: content://archives/archive.zip"", 'turn 2: Open content://archives/archive.zip. -> Opening archive file at content://archives/archive.zip.', 'turn 3: Send content://archives/archive.zip to support@company.com with a note asking them to review it. -> Email successfully sent to support@company.com with your archive.zip attached.', ""turn 4: Show my sent emails -> Recently sent emails: to support@company.com - 'archive.zip attached'.""]"	Open the created archive	Open content://documents/DraftDeck.pptx	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://archives/archive.zip'}}	ACTION_CREATE_DOCUMENT-40-ACTION_OPEN_CONTENT-1-send_email-1-ACTION_VIEW_SENT_EMAILS-2-ACTION_OPEN_CONTENT-1	1	['ACTION_INSERT_CONTACT', 'ACTION_EDIT_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_EVENT', 'ACTION_SHOW_TIMERS']
['turn 1: Gather all Office documents (.doc, .docx, .xls, .xlsx, .ppt) in one go. -> Alright, you can select multiple Office documents—Word (.doc/.docx), Excel (.xls/.xlsx), and PowerPoint (.ppt). Please choose the files.', 'turn 2: Access one of my stored addresses from the contacts database. -> Address picker is ready. Address selected: content://contacts/address/15.', 'turn 3: Can I view the details of content://contacts/address/15? -> Here you go—loading the address details from content://contacts/address/15.', 'turn 4: Show me a complete summary for /data/alex. -> Sure thing—here’s Alex’s full contact summary: Name: Alex Martinez; Phone: +1-408-555-0199; Email: alex.martinez@example.com; Address: 742 Evergreen Terrace, Springfield, OR.']	Open that Excel spreadsheet	Open content://documents/webpage/index.html	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': '/data/alex', 'mime_type': 'application/vnd.ms-excel'}}	ACTION_OPEN_DOCUMENT-154-ACTION_PICK-1_NR-ACTION_VIEW_CONTACT-1-get_contact_info-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_SET_ALARM', 'ACTION_GET_CONTENT', 'play_music', 'ACTION_OPEN_CONTENT', 'get_contact_info']
"['turn 1: Open a single HTML file for editing. -> One HTML file ready for editing:\n- content://documents/webpage/index.html', 'turn 2: Open content://documents/webpage/index.html for editing -> Opening HTML file for editing: content://documents/webpage/index.html', ""turn 3: Send content://documents/webpage/index.html to webteam@company.com with subject 'Please review' -> Email successfully sent to webteam@company.com with the HTML file attached."", ""turn 4: Let me check content://documents/webpage/index.html -> Sent emails:\n- webteam@company.com – 'Please review'""]"	Open that HTML file	Open content://documents/settings.xml now	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/webpage/index.html', 'mime_type': 'text/html'}}	ACTION_OPEN_DOCUMENT-122-ACTION_OPEN_CONTENT-1-send_email-1-ACTION_VIEW_SENT_EMAILS-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_RECENT_APPS', 'dial', 'play_music', 'ACTION_OPEN_CONTENT', 'get_contact_info']
"['turn 1: Please pick multiple ZIP archives from local storage. -> Sure thing! Here are the ZIP archives you selected:\n- content://downloads/backups/backup_jan.zip\n- content://downloads/backups/backup_feb.zip', ""turn 2: Open content://downloads/backups/backup_feb.zip -> Opening archive 'backup_feb.zip' at content://downloads/backups/backup_feb.zip."", 'turn 3: Help me select a mailing address from my saved contacts. -> Alright—launching the address picker. Please select an entry… Here’s what you chose: content://contacts/addresses/27', 'turn 4: Show me the contact for content://contacts/addresses/27. -> Here’s the contact info for content://contacts/addresses/27: Name: Chandler Bing. Address: 789 Pine St, Phoenix, AZ 85001. Phone: 480-555-0127. Email: chandler.bing@paleolothic.com.']"	Open the February backup	Open content://documents/FullBackup.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://downloads/backups/backup_feb.zip'}}	ACTION_OPEN_DOCUMENT-121-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_VIEW_CONTACT-1-ACTION_OPEN_CONTENT-2	1	['ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'web_search', 'play_music', 'ACTION_VIEW_SENT_MESSAGES']
"['turn 1: Select a video file of any format to preview. -> Please select a video file to preview.', ""turn 2: Send a video file to Dave in a text message saying 'Check this video.' -> Message 'Check this video.' delivered to Dave successfully."", 'turn 3: Launch the file selector to choose an image file from my photos. -> Launching the image picker—please choose the photo you want to open.', ""turn 4: Create a new image file called Capture.jpg -> Image 'Capture.jpg' created—find it here: content://images/Capture.jpg.""]"	Open that video file.	Open content://docs/annual_report.pdf	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://images/Capture.jpg'}}	ACTION_OPEN_DOCUMENT-117-send_message-1-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_IMAGE_CAPTURE', 'ACTION_OPEN_DOCUMENT', 'ACTION_SHOW_ALARMS', 'search_location', 'ACTION_OPEN_CONTENT']
"['turn 1: Please pick multiple ZIP archives from local storage. -> Sure thing! Here are the ZIP archives you selected:\n- content://downloads/backups/backup_jan.zip\n- content://downloads/backups/backup_feb.zip', ""turn 2: Open content://downloads/backups/backup_feb.zip -> Opening archive 'backup_feb.zip' at content://downloads/backups/backup_feb.zip."", 'turn 3: Help me select a mailing address from my saved contacts. -> Alright—launching the address picker. Please select an entry… Here’s what you chose: content://contacts/addresses/27', ""turn 4: Change content://contacts/addresses/27's address to 456 Elm St, Springfield, IL 62705. -> Address updated—all set! The selected contact's address is now 456 Elm St, Springfield, IL 62705 (content://contacts/addresses/27).""]"	Open the second one	Open a video file of any format to preview.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://downloads/backups/backup_feb.zip'}}	ACTION_OPEN_DOCUMENT-121-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_SHOW_TIMERS', 'ACTION_INSERT_CONTACT', 'send_email', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_DOCUMENT']
"[""turn 1: I'd like to upload any type of file for a quick backup. -> Your file has been selected for backup: content://files/backup_archive.zip"", 'turn 2: Save content://files/backup_archive.zip as a new ZIP file named FullBackup.zip -> Backup complete: you can find FullBackup.zip here: content://documents/FullBackup.zip', 'turn 3: Edit content://documents/FullBackup.zip to add a README file describing its contents -> Your backup archive has been updated with a README describing its contents. Access the revised FullBackup.zip here: content://documents/FullBackup.zip', ""turn 4: Could you pick a contact for me from my records? -> I've selected a contact for you: content://contacts/people/15""]"	Open that backup file	Show me content://gallery/holiday2.jpg	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/FullBackup.zip'}}	ACTION_GET_CONTENT-170-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_PICK-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIDEO_CAPTURE', 'search_location', 'ACTION_VIEW_RECENT_APPS', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_CONTENT']
"['turn 1: Select multiple images to include in a photo collage. -> Here are the images you picked for the collage:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 2: Start my smartphone's camera in still image mode to snap a photo. -> Photo mode initiated. Feel free to take a snapshot."", 'turn 3: Pick content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all. -> All set! You selected:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 4: Create a new PDF named HolidayCollage.pdf and import content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all into it. -> All done! 'HolidayCollage.pdf' has been generated at content://documents/HolidayCollage.pdf.""]"	Show me that third collage image	Open content://downloads/backups/backup_feb.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://gallery/holiday3.jpg'}}	ACTION_GET_CONTENT-171-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['get_contact_info_from_uri', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS']
"[""turn 1: I want to choose a single PDF report. -> Here's the report you selected: content://docs/annual_report.pdf"", 'turn 2: Could you let me pick a single text file from my device? -> Sure—opening your text files. Pick one to proceed.', ""turn 3: Alright, let's make a new text file called Notes.txt. -> Done—'Notes.txt' has been created at content://documents/Notes.txt. Ready when you are to start typing."", 'turn 4: Email content://documents/Notes.txt to team@example.com with subject Meeting Notes -> Your email to team@example.com has been sent.']"	Open that PDF	Show me content://gallery/holiday3.jpg	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://docs/annual_report.pdf'}}	ACTION_GET_CONTENT-174-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-send_email-1-ACTION_OPEN_CONTENT-2	1	['ACTION_SHOW_ALARMS', 'ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'play_music', 'web_search']
"[""turn 1: I'd like to upload any type of file for a quick backup. -> Your file has been selected for backup: content://files/backup_archive.zip"", ""turn 2: Trigger the device's still image camera app for a photo capture. -> Still image camera launched successfully. Ready when you are."", 'turn 3: Select any type of file for backup. -> Okay, file selected: content://temp/backup_file.dat', 'turn 4: Open content://temp/backup_file.dat -> Accessing file: content://temp/backup_file.dat.']"	Open that backup file	Open content://docs/annual_report.pdf	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://temp/backup_file.dat'}}	ACTION_GET_CONTENT-170-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_OPEN_CONTENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_SHOW_ALARMS', 'ACTION_VIDEO_CAPTURE', 'ACTION_EDIT_CONTACT', 'search_location', 'ACTION_OPEN_CONTENT']
"['turn 1: Select multiple images to include in a photo collage. -> Here are the images you picked for the collage:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', 'turn 2: Create a new PDF document called HolidayCollage.pdf -> Your holiday collage is all set! PDF created at content://documents/HolidayCollage.pdf', 'turn 3: Edit content://documents/HolidayCollage.pdf to add captions under each image -> Captions added under each image in HolidayCollage.pdf. You can view the updated PDF at content://documents/HolidayCollage.pdf', ""turn 4: I'm planning to capture some video. Please start the video camera application. -> Video camera app launched successfully. You can begin your capture now.""]"	Show me the second image	Show me content://camera_app/photos/98765	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://gallery/holiday2.jpg', 'mime_type': 'image/jpeg'}}	ACTION_GET_CONTENT-171-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_SET_TIMER', 'ACTION_SET_ALARM', 'launch_application', 'dial']
"[""turn 1: I want to choose a single PDF report. -> Here's the report you selected: content://docs/annual_report.pdf"", 'turn 2: Could you let me pick a single text file from my device? -> Sure—opening your text files. Pick one to proceed.', ""turn 3: Alright, let's make a new text file called Notes.txt. -> Done—'Notes.txt' has been created at content://documents/Notes.txt. Ready when you are to start typing."", ""turn 4: Send content://documents/Notes.txt to my assistant with the note 'Start filling this with daily updates' and attach content://documents/Notes.txt. -> Notes.txt has been sent to your assistant.""]"	Open that PDF report	Open content://files/backup_archive.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://docs/annual_report.pdf'}}	ACTION_GET_CONTENT-174-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-send_message-1-ACTION_OPEN_CONTENT-1	1	['ACTION_INSERT_CONTACT', 'get_contact_info', 'ACTION_INSERT_EVENT', 'ACTION_OPEN_DOCUMENT', 'ACTION_OPEN_CONTENT']
"['turn 1: Grab me several audio tracks to create a new playlist. -> Cool—got your tracks:\n• content://music/track01.mp3\n• content://music/track02.mp3\n• content://music/track03.mp3', 'turn 2: Compile content://music/track01.mp3, content://music/track02.mp3, and content://music/track03.mp3 into a playlist file named MyPlaylist.m3u -> All set! Your new playlist MyPlaylist.m3u is available at content://documents/MyPlaylist.m3u', ""turn 3: Edit content://documents/MyPlaylist.m3u to add a comment at the top indicating it's for workouts -> Workout note added at the top of MyPlaylist.m3u. Your playlist is updated: content://documents/MyPlaylist.m3u"", ""turn 4: Switch to the camera's still image mode so I can take a picture. -> Switched to still image mode. Smile when you're ready!""]"	Play that second audio track.	Open content://downloads/backups/backup_feb.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://music/track02.mp3', 'mime_type': 'audio/mpeg'}}	ACTION_GET_CONTENT-169-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_OPEN_CONTENT', 'ACTION_SHOW_ALARMS', 'search_location']
